,ORDER TABLE,,,,,
,,,,,,
,,,,,,
Order ID,Customer ID,Category,Unit Price,Quantity,Revenue,Shipping Fee
1001,1,Beverages,14,49,686,66.542
1002,9,Dried Fruit & Nuts,3.5,47,164.5,16.6145
1006,10,Beverages,18,81,1458,141.426
1007,8,Beverages,46,44,2024,198.352
1011,4,Soups,9.65,91,878.15,92.2057
1031,4,Condiments,10,63,630,65.52
1032,7,Sauces,40,30,1200,120
1070,6,Condiments,10,48,480,48
1071,7,Sauces,40,71,2840,295.36
1082,8,Beverages,18,74,1332,137.196
1083,9,Beverages,46,96,4416,428.352
1087,6,Soups,9.65,95,916.75,91.675
1100,4,Soups,9.65,43,414.95,42.3249
1134,12,Condiments,10,82,820,85.28
1135,12,Sauces,40,98,3920,411.6
1167,7,Condiments,10,24,240,25.2
1168,9,Sauces,40,28,1120,109.76
1209,7,Condiments,10,99,990,95.04
1210,6,Sauces,40,10,400,40
1276,11,Condiments,10,71,710,73.13
1277,10,Sauces,40,88,3520,366.08
1315,6,Condiments,10,11,110,11.44
1316,10,Sauces,40,91,3640,364
1356,7,Condiments,10,36,360,37.08
1357,2,Sauces,40,24,960,96
1368,12,Beverages,14,14,196,19.796
1369,12,Dried Fruit & Nuts,3.5,70,245,25.235
1373,7,Beverages,18,57,1026,102.6
1374,11,Beverages,46,83,3818,374.164
1378,5,Soups,9.65,96,926.4,94.4928
1412,10,Condiments,10,89,890,87.22
1413,7,Sauces,40,12,480,46.56
1010,12,Candy,12.75,94,1198.5,122.247
1047,8,Fruit & Veg,39,26,1014,106.47
1061,2,Beverages,14,72,1008,100.8
1086,8,Candy,12.75,35,446.25,45.9638
1099,1,Candy,12.75,14,178.5,16.9575
1125,8,Beverages,14,21,294,30.87
1158,4,Beverages,14,79,1106,113.918
1183,8,Fruit & Veg,39,98,3822,397.488
1200,3,Beverages,14,23,322,30.912
1245,8,Beverages,14,42,588,59.388
1267,12,Beverages,14,50,700,67.2
1306,3,Beverages,14,78,1092,112.476
1347,11,Beverages,14,38,532,55.328
1377,2,Candy,12.75,47,599.25,59.3258
1403,10,Beverages,14,96,1344,141.12
1428,1,Fruit & Veg,39,54,2106,214.812
1008,11,Baked Goods & Mixes,9.2,38,349.6,36.0088
1014,2,Candy,12.75,47,599.25,61.7228
1030,11,Sauces,40,32,1280,129.28
1035,9,,,,0,46
1044,5,Candy,12.75,13,165.75,15.7462
1055,3,Sauces,40,85,3400,357
1056,2,Baked Goods & Mixes,9.2,97,892.4,91.0248
1067,2,Dairy Products,34.8,63,2192.4,217.0476
1084,9,Baked Goods & Mixes,9.2,12,110.4,11.3712
1090,10,Candy,12.75,83,1058.25,102.6502
1103,5,Candy,12.75,41,522.75,54.366
1119,7,Sauces,40,73,2920,283.24
1120,8,Baked Goods & Mixes,9.2,51,469.2,44.574
1131,6,Dairy Products,34.8,22,765.6,75.0288
1152,3,Sauces,40,38,1520,148.96
